ID,Date_Time,Year,Month,Mdate,Day,Time,Sensor_ID,Sensor_Name,Hourly_Counts,total_count,Month_num,Day_num
3211337,"June 25, 2020 09:00:00 PM",2020,June,25,Thursday,21,41,Flinders La-Swanston St (West),388,18345,6,4
2748971,"July 16, 2019 06:00:00 AM",2019,July,16,Tuesday,6,17,Collins Place (South),245,20168,7,2
3642624,"April 13, 2021 06:00:00 AM",2021,April,13,Tuesday,6,5,Princes Bridge,286,52415,4,2
786064,"February 22, 2014 08:00:00 PM",2014,February,22,Saturday,20,18,Collins Place (North),428,19958,2,6
3739206,"June 20, 2021 04:00:00 AM",2021,June,20,Sunday,4,64,Royal Pde-Grattan St,2,271,6,7
2795807,"August 21, 2019 10:00:00 AM",2019,August,21,Wednesday,10,49,QVM-Therry St (South),160,3064,8,3
4193233,"March 16, 2022 11:00:00 PM",2022,March,16,Wednesday,23,11,Waterfront City,60,3858,3,3
3961086,"October 30, 2021 11:00:00 PM",2021,October,30,Saturday,23,4,Town Hall (West),578,66031,10,6
2103191,"January 22, 2018 01:00:00 AM",2018,January,22,Monday,1,27,QV Market-Peel St,5,4195,1,1
3062121,"March 11, 2020 01:00:00 AM",2020,March,11,Wednesday,1,14,Sandridge Bridge,22,22489,3,3
4041189,"December 05, 2021 06:00:00 PM",2021,December,5,Sunday,18,42,Grattan St-Swanston St (West),54,4073,12,7
2461935,"November 22, 2018 04:00:00 AM",2018,November,22,Thursday,4,53,Collins St (North),6,10269,11,4
1389460,"January 29, 2016 08:00:00 PM",2016,January,29,Friday,20,14,Sandridge Bridge,377,22489,1,5
4071898,"May 23, 2021 08:00:00 AM",2021,May,23,Sunday,8,9,Southern Cross Station,45,19152,5,7
17575,"June 15, 2009 07:00:00 AM",2009,June,15,Monday,7,9,Southern Cross Station,496,19152,6,1
3873634,"September 08, 2021 10:00:00 PM",2021,September,8,Wednesday,22,18,Collins Place (North),13,19958,9,3
