ID,Date_Time,Year,Month,Mdate,Day,Time,Sensor_ID,Sensor_Name,Hourly_Counts,total_count,Month_num,Day_num
1027435,"January 05, 2015 08:00:00 AM",2015,January,5,Monday,8,34,Flinders St-Spark La,186,9063,1,1
1960954,"September 15, 2017 02:00:00 AM",2017,September,15,Friday,2,1,Bourke Street Mall (North),55,96649,9,5
3997188,"November 21, 2021 08:00:00 AM",2021,November,21,Sunday,8,65,Swanston St - City Square,93,7491,11,7
1924838,"August 09, 2017 05:00:00 PM",2017,August,9,Wednesday,17,10,Victoria Point,689,21016,8,3
1235728,"August 23, 2015 07:00:00 AM",2015,August,23,Sunday,7,1,Bourke Street Mall (North),86,96649,8,7
2817883,"September 07, 2019 05:00:00 PM",2019,September,7,Saturday,17,51,QVM-Franklin St (North),155,4985,9,6
2719432,"June 22, 2019 08:00:00 PM",2019,June,22,Saturday,20,49,QVM-Therry St (South),95,7337,6,6
842438,"May 10, 2014 05:00:00 AM",2014,May,10,Saturday,5,5,Princes Bridge,45,118831,5,6
327754,"June 30, 2011 03:00:00 AM",2011,June,30,Thursday,3,8,Webb Bridge,1,20727,6,4
2842357,"September 27, 2019 06:00:00 AM",2019,September,27,Friday,6,42,Grattan St-Swanston St (West),6,13800,9,5
30857,"July 17, 2009 08:00:00 PM",2009,July,17,Friday,20,14,Sandridge Bridge,427,51255,7,5
4235317,"April 29, 2022 10:00:00 AM",2022,April,29,Friday,10,2,Bourke Street Mall (South),749,123190,4,5
47720,"August 28, 2009 04:00:00 AM",2009,August,28,Friday,4,13,Flagstaff Station,10,56644,8,5
2153646,"March 07, 2018 03:00:00 AM",2018,March,7,Wednesday,3,37,Lygon St (East),4,9906,3,3
1671941,"November 09, 2016 02:00:00 AM",2016,November,9,Wednesday,2,2,Bourke Street Mall (South),17,123190,11,3
2212394,"April 27, 2018 11:00:00 AM",2018,April,27,Friday,11,43,Monash Rd-Swanston St (West),747,10897,4,5
2600747,"March 18, 2019 01:00:00 PM",2019,March,18,Monday,13,21,Bourke St-Russell St (West),1302,44224,3,1
4072122,"May 01, 2021 04:00:00 PM",2021,May,1,Saturday,16,10,Victoria Point,143,21016,5,6
4322491,"May 09, 2022 02:00:00 PM",2022,May,9,Monday,14,77,Harbour Esplanade (West) - Ped Path,180,2905,5,1
2295320,"July 08, 2018 11:00:00 AM",2018,July,8,Sunday,11,36,Queen St (West),173,17094,7,7
2217545,"May 02, 2018 12:00:00 AM",2018,May,2,Wednesday,0,41,Flinders La-Swanston St (West),255,68374,5,3
791243,"March 01, 2014 10:00:00 PM",2014,March,1,Saturday,22,28,The Arts Centre,1463,63067,3,6
2446037,"November 08, 2018 11:00:00 PM",2018,November,8,Thursday,23,35,Southbank,1318,80829,11,4
1357728,"December 28, 2015 04:00:00 PM",2015,December,28,Monday,16,20,Chinatown-Lt Bourke St (South),516,26134,12,1
4422025,"August 19, 2022 07:00:00 PM",2022,August,19,Friday,19,53,Collins St (North),599,36660,8,5
2512982,"January 03, 2019 12:00:00 PM",2019,January,3,Thursday,12,39,Alfred Place,598,14784,1,4
2334666,"August 10, 2018 01:00:00 AM",2018,August,10,Friday,1,45,Little Collins St-Swanston St (East),84,29926,8,5
3093131,"April 02, 2020 07:00:00 AM",2020,April,2,Thursday,7,14,Sandridge Bridge,84,51255,4,4
1317571,"November 17, 2015 11:00:00 AM",2015,November,17,Tuesday,11,10,Victoria Point,236,21016,11,2
4210001,"March 14, 2022 03:00:00 PM",2022,March,14,Monday,15,35,Southbank,4361,80829,3,1
2500600,"December 24, 2018 02:00:00 AM",2018,December,24,Monday,2,52,Elizabeth St-Lonsdale St (South),44,7823,12,1
1748281,"January 30, 2017 07:00:00 AM",2017,January,30,Monday,7,2,Bourke Street Mall (South),253,123190,1,1
2214665,"April 29, 2018 12:00:00 PM",2018,April,29,Sunday,12,4,Town Hall (West),2304,167769,4,7
5079,"May 15, 2009 02:00:00 AM",2009,May,15,Friday,2,12,New Quay,3,21888,5,5
3409887,"November 13, 2020 07:00:00 PM",2020,November,13,Friday,19,23,Spencer St-Collins St (South),137,20438,11,5
1832768,"May 02, 2017 05:00:00 AM",2017,May,2,Tuesday,5,22,Flinders St-Elizabeth St (East),168,82570,5,2
334408,"July 16, 2011 10:00:00 AM",2011,July,16,Saturday,10,15,State Library,420,95844,7,6
4150098,"February 17, 2022 05:00:00 PM",2022,February,17,Thursday,17,21,Bourke St-Russell St (West),627,44224,2,4
3285769,"August 19, 2020 03:00:00 PM",2020,August,19,Wednesday,15,22,Flinders St-Elizabeth St (East),649,82570,8,3
1094847,"March 25, 2015 09:00:00 AM",2015,March,25,Wednesday,9,6,Flinders Street Station Underpass,2470,159391,3,3
2336182,"August 11, 2018 07:00:00 AM",2018,August,11,Saturday,7,28,The Arts Centre,88,63067,8,6
1548060,"July 05, 2016 02:00:00 AM",2016,July,5,Tuesday,2,13,Flagstaff Station,19,56644,7,2
2585171,"March 05, 2019 12:00:00 PM",2019,March,5,Tuesday,12,47,Melbourne Central-Elizabeth St (East),2144,43401,3,2
4151037,"February 28, 2022 08:00:00 PM",2022,February,28,Monday,20,5,Princes Bridge,1121,118831,2,1
